Ticker,Company Name,Sector,Industry,Exchange (Yahoo)
PETS.L,Pets at Home Group Plc,Consumer Cyclical,Specialty Retail,LSE
PHAR.L,Pharos Energy plc,Energy,Oil & Gas E&P,LSE
PRV.L,Porvair plc,Industrials,Pollution & Treatment Controls,LSE
PZC.L,PZ Cussons plc,Consumer Defensive,Household & Personal Products,LSE
QLT.L,Quilter plc,Financial Services,Asset Management,LSE
QQ.L,QinetiQ Group plc,Industrials,Aerospace & Defense,LSE
RGL.L,Regional REIT Limited,Real Estate,REIT - Office,LSE
RM.L,RM plc,Technology,Software - Application,LSE
ROR.L,Rotork plc,Industrials,Specialty Industrial Machinery,LSE
RST.L,Restore plc,Industrials,Specialty Business Services,LSE
SBRY.L,J Sainsbury plc,Consumer Defensive,Grocery Stores,LSE
SPEC.L,INSPECS Group plc,Healthcare,Medical Instruments & Supplies,LSE
TRB.L,Tribal Group plc,Technology,Software - Application,LSE
VSVS.L,Vesuvius plc,Basic Materials,Steel,LSE
WINE.L,Naked Wines plc,Consumer Defensive,Beverages - Wineries & Distilleries,LSE
